Stage,Criterion,Java_Mean,Java_Std,Python_Mean,Python_Std
CODE_ONLY,C1_Readability,0.75,0.452,0.75,0.452
CODE_ONLY,C2_Problem_Identification,0.25,0.452,0.917,0.289
CODE_ONLY,C3_Explanation_Clarity,0.25,0.452,0.917,0.289
CODE_ONLY,C4_Actionability,1.0,0.0,0.917,0.289
CODE_ONLY,C5_Contextual_Adequacy,0.583,0.515,1.0,0.0
CODE_ONLY,C6_Brevity,1.0,0.0,1.0,0.0
CODE_TEST,C1_Readability,0.75,0.452,0.917,0.289
CODE_TEST,C2_Problem_Identification,0.583,0.515,1.0,0.0
CODE_TEST,C3_Explanation_Clarity,0.583,0.515,1.0,0.0
CODE_TEST,C4_Actionability,0.833,0.389,1.0,0.0
CODE_TEST,C5_Contextual_Adequacy,0.417,0.515,0.917,0.289
CODE_TEST,C6_Brevity,1.0,0.0,1.0,0.0
CODE_ERROR,C1_Readability,0.75,0.452,0.833,0.389
CODE_ERROR,C2_Problem_Identification,0.75,0.452,1.0,0.0
CODE_ERROR,C3_Explanation_Clarity,0.75,0.452,0.917,0.289
CODE_ERROR,C4_Actionability,0.917,0.289,1.0,0.0
CODE_ERROR,C5_Contextual_Adequacy,0.25,0.452,1.0,0.0
CODE_ERROR,C6_Brevity,1.0,0.0,1.0,0.0
CODE_TEST_ERROR,C1_Readability,0.75,0.452,0.833,0.389
CODE_TEST_ERROR,C2_Problem_Identification,1.0,0.0,1.0,0.0
CODE_TEST_ERROR,C3_Explanation_Clarity,1.0,0.0,1.0,0.0
CODE_TEST_ERROR,C4_Actionability,1.0,0.0,1.0,0.0
CODE_TEST_ERROR,C5_Contextual_Adequacy,0.5,0.522,1.0,0.0
CODE_TEST_ERROR,C6_Brevity,1.0,0.0,1.0,0.0
